Parameter name,Repetitions,Time unit
epoch_iterations_number,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
65,161,112.204,1839,2341,2596
65,181,125.667,1839,2361,2679
65,201,141.081,1839,2287,2557
65,221,155.085,1839,2420,2641
65,241,168.052,1839,2326,2671
65,261,182.575,1839,2323,2573
65,281,190.889,1839,2506,2608
65,301,208.745,1839,2427,2526
65,321,223.464,1839,2457,2654
65,341,236.376,1839,2327,2513
65,361,251.132,1839,2281,2613
65,381,264.895,1839,2347,2547
65,401,271.175,1839,2316,2545
65,421,295.66,1839,2426,2559
65,441,326.995,1839,2435,2617
65,461,327.927,1839,2412,2558
65,481,333.911,1839,2413,2590
65,501,347.972,1839,2381,2614
65,521,362.234,1839,2366,2505
65,541,375.355,1839,2248,2511
65,561,390.716,1839,2467,2637
65,581,406.516,1839,2385,2540
65,601,416.546,1839,2217,2546
65,621,430.652,1839,2188,2528
65,641,448.557,1839,2254,2389
65,661,462.526,1839,2380,2573
65,681,477.583,1839,2235,2542
65,701,485.76,1839,2417,2505
65,721,491.486,1839,2199,2402
65,741,523.316,1839,2243,2459
65,761,552.484,1839,2231,2477
65,781,541.113,1839,2303,2478
65,801,548.183,1839,2257,2528
65,821,569.637,1839,2203,2483
65,841,579.31,1839,2180,2456
65,861,588.483,1839,2296,2490
65,881,611.927,1839,2373,2508
65,901,626.926,1839,2249,2442
65,921,642.584,1839,2336,2483
65,941,647.227,1839,2231,2426
65,961,676.948,1839,2234,2412
65,981,715.54,1839,2379,2471
100,1,0.70087,36230,89435,95582
100,21,14.4614,36230,55476,61081
100,41,28.9266,36230,50614,57505
100,61,42.6897,36230,53285,57846
100,81,57.0517,36230,52456,56420
100,101,71.3131,36230,52046,56054
100,121,82.4795,36230,52213,55442
100,141,95.9437,36230,50784,56561
100,161,111.805,36230,50559,54323
100,181,125.165,36230,52137,54745
100,201,137.033,36230,50714,53627
100,221,152.092,36230,48211,53609
100,241,167.611,36230,49544,53350
100,261,183.113,36230,51392,54778
100,281,196.876,36230,47236,52276
100,301,205.7,36230,48941,52908
100,321,223.107,36230,49378,53370
100,341,236.429,36230,47153,53182
100,361,248.635,36230,47880,51713
100,381,260.354,36230,49327,52639
100,401,279.955,36230,50956,52855
100,421,292.323,36230,46245,49711
100,441,306.643,36230,48905,52339
100,461,322.795,36230,48275,51052
100,481,325.43,36230,48243,52401
100,501,345.236,36230,46962,50805
100,521,362.036,36230,47655,52189
100,541,375.699,36230,47339,51348
100,561,389.861,36230,46803,49211
100,581,421.677,36230,47704,52183
100,601,431.051,36230,47442,50875
100,621,431.848,36230,47649,50652
100,641,446.17,36230,47322,50670
100,661,450.799,36230,47528,50056
100,681,462.514,36230,44856,48472
100,701,480.477,36230,45919,50129
100,721,497.628,36230,46581,49834
100,741,518.875,36230,47010,49056
100,761,531.64,36230,46127,50292
100,781,545.844,36230,47346,50048
100,801,560.605,36230,46092,48493
100,821,570.08,36230,47147,50280
100,841,602.402,36230,47391,49879
100,861,634.263,36230,46004,50218
100,881,608.933,36230,45122,49834
100,901,611.615,36230,47952,50901
100,921,631.664,36230,44928,48401
100,941,638.346,36230,45323,48425
100,961,667.818,36230,44297,48475
100,981,681.183,36230,47789,50351
