Repetitions number,15
Time unit,millisecond
Algorithm\Instance size,10,11,12,13,14,15,16,17,18,21,24,26,29,34,36,39,45
B&B (Little),1124.84,76.7239,6.90862,1.85897,0.790512,2.12309,7.79497,103529,6.49424,14.7977,402.757,1037.9,1969.17,8488.11,1686.17,4587.83,16867.6
