Repetitions number,15
Time unit,millisecond
Algorithm\Instance size,10,11,12,13,14,15,16,17,18,21,24,26,29,34,36,39,45
B&B (Little; NN),1130.87,76.726,5.64726,2.04759,1.06745,2.00293,7.91269,106968,6.71101,16.0783,401.651,1040.48,1996.89,8722.78,1700.49,4498.4,16951.1
