Repetitions number,15
Time unit,millisecond
Algorithm\Instance size,10,11,12,13,14,15,16,17,18,21,24,26,29,34,36,39,45
B&B (Little; G),1164.27,78.952,5.86386,0.990231,0.397875,2.35437,8.06821,110328,6.78984,16.4801,407.192,1032.68,2016.18,8943.05,1719.79,4549.24,17451
